stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
12TH,12th St. Oakland City Center BART Station,,37.803768,-122.27145,12TH,http://www.bart.gov/stations/12TH/,0,,,1
16TH,16th St. Mission BART Station,,37.765062,-122.419694,16TH,http://www.bart.gov/stations/16TH/,0,,,1
19TH,19th St. Oakland BART Station,,37.80835,-122.268602,19TH,http://www.bart.gov/stations/19TH/,0,,,1
24TH,24th St. Mission BART Station,,37.75247,-122.418143,24TH,http://www.bart.gov/stations/24TH/,0,,,1
ANTC,Antioch BART Station,,37.995388,-121.78042,ANTC,http://www.bart.gov/stations/ANTC/,0,,,1
ASHB,Ashby BART Station,,37.852803,-122.270062,ASHB,http://www.bart.gov/stations/ASHB/,0,,,1
BALB,Balboa Park BART Station,,37.721585,-122.447506,BALB,http://www.bart.gov/stations/BALB/,0,,,1
BAYF,Bay Fair BART Station,,37.696924,-122.126514,BAYF,http://www.bart.gov/stations/BAYF/,0,,,1
CAST,Castro Valley BART Station,,37.690746,-122.075602,CAST,http://www.bart.gov/stations/CAST/,0,,,1
CIVC,Civic Center/UN Plaza BART Station,,37.779732,-122.414123,CIVC,http://www.bart.gov/stations/CIVC/,0,,,1
COLS,Coliseum BART Station,,37.753661,-122.196869,COLS,http://www.bart.gov/stations/COLS/,0,,,1
COLM,Colma BART Station,,37.684638,-122.466233,COLM,http://www.bart.gov/stations/COLM/,0,,,1
CONC,Concord BART Station,,37.973737,-122.029095,CONC,http://www.bart.gov/stations/CONC/,0,,,1
DALY,Daly City BART Station,,37.706121,-122.469081,DALY,http://www.bart.gov/stations/DALY/,0,,,1
DBRK,Downtown Berkeley BART Station,,37.870104,-122.268133,DBRK,http://www.bart.gov/stations/DBRK/,0,,,1
DUBL,Dublin/Pleasanton BART Station,,37.701687,-121.899179,DUBL,http://www.bart.gov/stations/DUBL/,0,,,1
DELN,El Cerrito del Norte BART Station,,37.925086,-122.316794,DELN,http://www.bart.gov/stations/DELN/,0,,,1
PLZA,El Cerrito Plaza BART Station,,37.902632,-122.298904,PLZA,http://www.bart.gov/stations/PLZA/,0,,,1
EMBR,Embarcadero BART Station,,37.792874,-122.39702,EMBR,http://www.bart.gov/stations/EMBR/,0,,,1
FRMT,Fremont BART Station,,37.557465,-121.976608,FRMT,http://www.bart.gov/stations/FRMT/,0,,,1
FTVL,Fruitvale BART Station,,37.774836,-122.224175,FTVL,http://www.bart.gov/stations/FTVL/,0,,,1
GLEN,Glen Park BART Station,,37.733064,-122.433817,GLEN,http://www.bart.gov/stations/GLEN/,0,,,1
HAYW,Hayward BART Station,,37.669723,-122.087018,HAYW,http://www.bart.gov/stations/HAYW/,0,,,1
LAFY,Lafayette BART Station,,37.893176,-122.12463,LAFY,http://www.bart.gov/stations/LAFY/,0,,,1
LAKE,Lake Merritt BART Station,,37.797027,-122.26518,LAKE,http://www.bart.gov/stations/LAKE/,0,,,1
MCAR,MacArthur BART Station,,37.829065,-122.26704,MCAR,http://www.bart.gov/stations/MCAR/,0,,,1
MLBR,Millbrae BART Station,,37.600271,-122.386702,MLBR,http://www.bart.gov/stations/MLBR/,0,,,1
MONT,Montgomery St. BART Station,,37.789405,-122.401066,MONT,http://www.bart.gov/stations/MONT/,0,,,1
NBRK,North Berkeley BART Station,,37.873967,-122.28344,NBRK,http://www.bart.gov/stations/NBRK/,0,,,1
NCON,North Concord/Martinez BART Station,,38.003193,-122.024653,NCON,http://www.bart.gov/stations/NCON/,0,,,1
OAKL,Oakland International Airport BART Station,,37.713238,-122.212191,OAKL,http://www.bart.gov/stations/OAKL/,0,,,1
ORIN,Orinda BART Station,,37.878361,-122.183791,ORIN,http://www.bart.gov/stations/ORIN/,0,,,1
PITT,Pittsburg/Bay Point BART Station,,38.018914,-121.945154,PITT,http://www.bart.gov/stations/PITT/,0,,,1
PCTR,Pittsburg Center BART Station,,38.016941,-121.889457,PCTR,http://www.bart.gov/stations/PCTR/,0,,,1
PHIL,Pleasant Hill/Contra Costa Centre BART Station,,37.928468,-122.056012,PHIL,http://www.bart.gov/stations/PHIL/,0,,,1
POWL,Powell St. BART Station,,37.784471,-122.407974,POWL,http://www.bart.gov/stations/POWL/,0,,,1
